0xe298f7cce27dcd2671968022ac96d0af1a44ef75, DELGOPlus (DELGO),tokens,Advertising,$0,2285
0xe4eb6085899a836abd083fad566ac74f05974947, Vreo Token (VREO),tokens,Advertising,$0,240
0x92b914f1ddcbb1d117a718e83c9ed7eb32fc44d1, EnkronosToken (ENK),tokens,Advertising,$0,7542
0x38968746147bbaeb882f356ad9a57594bb158235, benjaCoin (BENJA),tokens,Advertising,$0,124
0x2ad180cbaffbc97237f572148fc1b283b68d8861, IZX Token (IZX),tokens,Advertising,$0,19540
0xb4e3362ee28105cd6d99278424d2176c4f3d76ce, Webercoin (WBC),tokens,Advertising,$0,1549
0x1fd27f0cfc6f273b87a5e0f6fcf063422e7bcd6a, Agrocoin (AGRO),tokens,Agriculture,"$2,438,885",314
0x865d176351f287fe1b0010805b110d08699c200a, BananaCoin Extended (BCO),tokens,Agriculture,"$97,375",2616
0x72c9fb7ed19d3ce51cea5c56b3e023cd918baadf, Agrolot Token (AGLT),tokens,Agriculture,"$10,511",80
0x67d838e04cd073273a76f8b59c14b67aba8a6b62, TRADERX COIN (TDR),tokens,Agriculture,$0,45
0x3be6e7bf2cd8e1a0a95597e72ca6d3709bbeff76, DMTC Token (DMTC),tokens,Agriculture,$0,2598
0x50551265ba0aef89c43f9a965e58922867a6eb3a, GoldAgriculturalChain (GACT),tokens,Agriculture,$0,17
0x720c2c93F5f9A6b82226e84095558B10F399b0FA, Gric Coin (GC),tokens,Agriculture,$0,9199
0x9c45bce7c51d3900d6cb7025eea9c3b0675c65c4, Planetagro-Exchange (ONION),tokens,Agriculture,$0,94
0x369eb6821c94a78428f7c86c768590f53950068f, ATFS (ATFS),tokens,Agriculture,$0,2059
0x3dd957216c182675f630ee2ee957a5c735472fd1, Planetagro-Exchange (LEMON),tokens,Agriculture,$0,51
0x41f723448433367be140d528d35efecd3e023db6, Farm Partner (FARM),tokens,Agriculture,$0,122
0x6631625a68b08e0fdf605c354ff0e710a0176c84,AfroDex: CrowdSend,accounts,Airdrop / Distributor,0 Ether,233
0x617c69250f678215f39ab00328ea9d06d77ab778,AfroDex: Genesis,accounts,Airdrop / Distributor,0.0608415 Ether,227
0xb5adb233f28c86cef693451b67e1f2d41da97d21,Bitox.io,accounts,Airdrop / Distributor,2.48114994 Ether,24977
0x3b7e71a9f15eebb541c82f88ef020ae7040484f1,Bitpie: Batch Sender v2,accounts,Airdrop / Distributor,4.56442274 Ether,1779
0xd1917932a7db6af687b523d5db5d7f5c2734763f,Bulksender.app,accounts,Airdrop / Distributor,14.89046079 Ether,7994
0x7e760ad2a3e901bf034daa53222286524a4fbcf6,CoinMarketFeed: Airdrop & Liquidity,accounts,Airdrop / Distributor,0 Ether,31
0xcf6cc4dddad0924e0b55a394cfb4c442822f6311,Exnce: Airdrop Distributor,accounts,Airdrop / Distributor,0 Ether,182
0x51f43d0c05eefdeb70eeaf973e0b8286e494902d,Exsender,accounts,Airdrop / Distributor,0 Ether,64
0xb2feda42cebd9ae02b6c20066e69dd11559a09d1,FreelancerChain: Airdrop,accounts,Airdrop / Distributor,0 Ether,0
 0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,KickICO Token,accounts,Airdrop / Distributor,0 Ether,171734
0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,Multisender.app,accounts,Airdrop / Distributor,32.77666399 Ether,15113
